timestamp,demanda_real_m3,pred_xgboost_v3.0_(actual)_m3,pred_randomforest_m3,pred_lightgbm_m3
2025-07-04 02:00:00,8224.535277907598,13156.735632975011,15582.79901158952,12178.634713355874
2025-07-04 03:00:00,8335.406063300396,15449.928304902507,15404.805847306729,15742.350292127841
2025-07-04 04:00:00,10020.042650053903,16370.472397837635,15507.863894607674,16903.48846476956
2025-07-04 05:00:00,13473.928512906205,17938.288138210995,16089.853166135372,19502.515342502455
2025-07-04 06:00:00,9819.1386126783,17913.129903512705,18135.638331953174,20002.83893408478
2025-07-04 07:00:00,11202.589282339697,16590.875213473766,17942.6955253375,15719.843547133061
2025-07-04 08:00:00,12278.269345442593,16355.349399996594,18630.085899683367,16642.677683260506
2025-07-04 09:00:00,12040.492511170003,18365.49781752939,17942.896081855175,18598.18097209809
2025-07-04 10:00:00,14156.839763673306,18853.863708255376,17931.453119710754,19422.851828854684
2025-07-04 11:00:00,22374.7693591462,20420.219310256427,17685.468550267913,20833.266973121466
2025-07-04 12:00:00,5681.402347145999,20442.842349843533,18298.65620251024,22323.587055958968
2025-07-04 14:00:00,20667.650179171196,14642.936898877648,11830.945466227833,14358.024796549511
2025-07-04 15:00:00,11740.733341987998,14150.101819181713,12686.13261684675,14309.983019901694
2025-07-04 16:00:00,13153.006248214995,13969.516164393324,12806.626115591636,13694.690741156908
2025-07-04 17:00:00,12314.491871802904,12661.148937054437,14074.705257320873,13172.038689952102
2025-07-04 18:00:00,13320.910389934103,13086.420111622036,14738.311707919755,13279.537336052503
2025-07-04 19:00:00,12110.030127431895,13018.904828655963,14436.035756075267,13545.136254683039
2025-07-04 20:00:00,11833.212445331103,12946.256299285813,14362.645759207227,13071.231706378325
2025-07-04 21:00:00,7963.149365143403,13041.30640126689,14262.37721870102,12835.676049315272
2025-07-04 22:00:00,11507.031299447182,12271.955608682398,13024.989451866215,12270.317544008458
2025-07-04 23:00:00,9236.785789307944,10190.648609704736,9664.45659044367,10218.02998479779
2025-07-05 00:00:00,9299.379756069877,8591.781398903353,8979.222998405648,8290.260561929668
2025-07-05 01:00:00,9420.577417635403,8078.304806706559,9314.704781428554,8158.975797172214
