fecha,n_outliers,horas,horas_consecutivas_max,tipo_evento,tipo_error_principal,tipos_error_dict
2024-12-22,1,[np.int32(5)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-01-13,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-01-28,1,[np.int32(10)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2025-01-29,3,"[np.int32(2), np.int32(4), np.int32(18)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 3}
2025-01-31,1,[np.int32(5)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-02-01,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-02-03,2,"[np.int32(4), np.int32(11)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-02-10,2,"[np.int32(22), np.int32(23)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-02-11,4,"[np.int32(1), np.int32(2), np.int32(3), np.int32(4)]",4,Continuo,Delta Volumen Extremo,"{'Delta Volumen Extremo': 3, 'Demanda Extrema Alta (>30k)': 1}"
2025-02-12,1,[np.int32(1)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-02-14,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-02-21,1,[np.int32(13)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2025-02-25,1,[np.int32(15)],0,Aislado,Demanda Extrema Alta (>30k),{'Demanda Extrema Alta (>30k)': 1}
2025-02-26,2,"[np.int32(22), np.int32(23)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-02-27,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-03-03,1,[np.int32(3)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-03-04,2,"[np.int32(8), np.int32(9)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-03-12,2,"[np.int32(14), np.int32(19)]",0,Discontinuo,Delta Volumen Extremo,"{'Delta Volumen Extremo': 1, 'Demanda Negativa': 1}"
2025-03-18,1,[np.int32(1)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-03-21,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-03-23,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-04-11,4,"[np.int32(10), np.int32(15), np.int32(21), np.int32(22)]",2,Mixto (continuo + discontinuo),Delta Volumen Extremo,"{'Delta Volumen Extremo': 2, 'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-04-14,2,"[np.int32(12), np.int32(13)]",2,Continuo,Delta Volumen Extremo,{'Delta Volumen Extremo': 2}
2025-04-15,1,[np.int32(5)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-04-16,2,"[np.int32(10), np.int32(11)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-04-21,1,[np.int32(5)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-04-23,2,"[np.int32(9), np.int32(10)]",2,Continuo,Delta Volumen Extremo,{'Delta Volumen Extremo': 2}
2025-05-08,1,[np.int32(20)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-05-13,3,"[np.int32(19), np.int32(20), np.int32(21)]",3,Continuo,Demanda Negativa,"{'Demanda Negativa': 2, 'Demanda Extrema Alta (>30k)': 1}"
2025-05-18,4,"[np.int32(5), np.int32(6), np.int32(17), np.int32(23)]",2,Mixto (continuo + discontinuo),Demanda Negativa,{'Demanda Negativa': 4}
2025-05-19,7,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7)]",6,Mixto (continuo + discontinuo),Demanda Negativa,{'Demanda Negativa': 7}
2025-05-20,6,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5)]",6,Continuo,Demanda Negativa,{'Demanda Negativa': 6}
2025-06-12,2,"[np.int32(6), np.int32(8)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-06-15,1,[np.int32(0)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-06-19,1,[np.int32(2)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-06-21,1,[np.int32(4)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-06-25,4,"[np.int32(15), np.int32(16), np.int32(18), np.int32(19)]",3,Mixto (continuo + discontinuo),Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 2, 'Demanda Negativa': 2}"
2025-06-26,5,"[np.int32(3), np.int32(7), np.int32(8), np.int32(12), np.int32(13)]",3,Mixto (continuo + discontinuo),Demanda Negativa,"{'Demanda Negativa': 3, 'Demanda Extrema Alta (>30k)': 2}"
2025-06-27,3,"[np.int32(14), np.int32(15), np.int32(21)]",2,Mixto (continuo + discontinuo),Demanda Negativa,"{'Demanda Negativa': 2, 'Demanda Extrema Alta (>30k)': 1}"
2025-07-03,2,"[np.int32(8), np.int32(18)]",0,Discontinuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-07-04,1,[np.int32(13)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-07-05,2,"[np.int32(5), np.int32(7)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
2025-07-20,1,[np.int32(18)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-07-22,2,"[np.int32(14), np.int32(15)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-07-25,2,"[np.int32(9), np.int32(10)]",2,Continuo,Delta Volumen Extremo,{'Delta Volumen Extremo': 2}
2025-07-30,2,"[np.int32(19), np.int32(20)]",2,Continuo,Demanda Extrema Alta (>30k),"{'Demanda Extrema Alta (>30k)': 1, 'Demanda Negativa': 1}"
2025-08-06,1,[np.int32(7)],0,Aislado,Demanda Negativa,{'Demanda Negativa': 1}
2025-08-08,2,"[np.int32(5), np.int32(11)]",0,Discontinuo,Demanda Negativa,{'Demanda Negativa': 2}
