timestamp,Q_net_real,Q_net_pred,error,error_abs,error_pct
2025-06-28 20:00:00+00:00,327.61406530439854,98.13413,229.47993291914463,229.47993291914463,70.04581219854715
2025-06-28 21:00:00+00:00,731.115863835119,700.33734,30.778522526525194,30.778522526525194,4.2098009425037395
2025-06-28 22:00:00+00:00,390.6369945901824,743.4151,-352.77810550747387,352.77810550747387,90.30842198588326
2025-06-28 23:00:00+00:00,14.995643227593972,975.8298,-960.8341297216248,960.8341297216248,6407.421910075605
2025-06-29 00:00:00+00:00,989.8658412580262,1822.258,-832.3922153825988,832.3922153825988,84.09141731011817
2025-06-29 01:00:00+00:00,6119.664327309278,5401.985,717.6794640280277,717.6794640280277,11.727431859707579
2025-06-29 02:00:00+00:00,5688.780998358299,6131.7524,-442.97144304795074,442.97144304795074,7.786755074167663
2025-06-29 03:00:00+00:00,4059.194534257695,4461.945,-402.75028996105493,402.75028996105493,9.921926297496503
2025-06-29 04:00:00+00:00,4896.608200587798,5074.9263,-178.3180689434521,178.3180689434521,3.641665039119251
2025-06-29 05:00:00+00:00,5179.323260170408,4981.898,197.4253109516576,197.4253109516576,3.8117974305616524
2025-06-29 06:00:00+00:00,4661.733814723499,4520.259,141.47502566099865,141.47502566099865,3.0348156133275483
2025-06-29 07:00:00+00:00,4001.13862509522,4043.2432,-42.10453896727995,42.10453896727995,1.0523139264208308
2025-06-29 08:00:00+00:00,2932.287681090762,2847.135,85.15267132513691,85.15267132513691,2.903967161007256
2025-06-29 09:00:00+00:00,-623.1531264966761,-655.7998,32.64667819082388,32.64667819082388,5.238949594036582
2025-06-29 10:00:00+00:00,-3927.546368653712,-3832.5593,-94.98704248183685,94.98704248183685,2.418483031542072
2025-06-29 11:00:00+00:00,-5320.107931567094,-5186.6704,-133.43752141084406,133.43752141084406,2.508173201131629
2025-06-29 12:00:00+00:00,-6603.308660261508,-6556.6084,-46.70026182400761,46.70026182400761,0.7072251840209778
2025-06-29 13:00:00+00:00,-7568.33721786199,-7337.5,-230.8372178619902,230.8372178619902,3.05003874982199
2025-06-29 14:00:00+00:00,-4733.304195057106,-4870.462,137.15771900539403,137.15771900539403,2.8977161271110585
2025-06-29 15:00:00+00:00,-4265.591076225493,-4197.1167,-68.47437700674345,68.47437700674345,1.6052728867609733
2025-06-29 16:00:00+00:00,-2789.8929000899807,-3002.3174,212.42448272251931,212.42448272251931,7.6140730246551085
2025-06-29 17:00:00+00:00,-1434.4087472974206,-2089.2886,654.8798269213294,654.8798269213294,45.65503578775527
2025-06-29 18:00:00+00:00,-660.5563579476293,-1318.7319,658.1755756461207,658.1755756461207,99.63957923152753
2025-06-29 19:00:00+00:00,-10544.797437214074,-11245.302,700.5043205984257,700.5043205984257,6.6431273314577615
2025-06-29 20:00:00+00:00,7135.134177553075,5904.585,1230.5492166155746,1230.5492166155746,17.24633603229
2025-06-29 21:00:00+00:00,-754.3335550989723,-891.1953,136.86175740102772,136.86175740102772,18.14340041960228
2025-06-29 22:00:00+00:00,7296.517121104203,7819.482,-522.9648124895466,522.9648124895466,7.167321117865133
2025-06-29 23:00:00+00:00,3415.0677925408963,4579.4175,-1164.3496879278537,1164.3496879278537,34.09448241323339
2025-06-30 00:00:00+00:00,3875.8585856918944,4143.469,-267.6106525893556,267.6106525893556,6.904551512205995
2025-06-30 01:00:00+00:00,4723.995744796979,5667.0713,-943.0755442655209,943.0755442655209,19.963513838983168
2025-06-30 02:00:00+00:00,5365.121873065946,6093.4966,-728.3747089653043,728.3747089653043,13.576107424919842
2025-06-30 03:00:00+00:00,4298.754716062089,4733.617,-434.86247143791115,434.86247143791115,10.116010336971975
2025-06-30 04:00:00+00:00,5021.734454853868,5334.0317,-312.29728342738235,312.29728342738235,6.218912732940798
2025-06-30 05:00:00+00:00,5531.5640606753295,5239.546,292.01816223782953,292.01816223782953,5.279124656872871
2025-06-30 06:00:00+00:00,2864.050903873489,2832.2139,31.837036685989005,31.837036685989005,1.1116086185106198
2025-06-30 07:00:00+00:00,-1752.8596582002065,-1596.9084,-155.95121093458147,155.95121093458147,8.896959331855944
2025-06-30 08:00:00+00:00,-211.5906156096025,-951.55743,739.9668184724287,739.9668184724287,349.7162746752967
2025-06-30 09:00:00+00:00,-582.1017164929945,-1476.973,894.871305967943,894.871305967943,153.73108867627136
2025-06-30 10:00:00+00:00,-4635.637053884275,-4366.6885,-268.9485773217748,268.9485773217748,5.801760884114481
